COMMUNITY_AREA,permits,score_sum,retrofit_likely,heat_pump,insulation,blower,ductwork,elec_upg,hvac,lighting,envelope
,775,308,78,0,0,0,1,63,19,9,4
0,10,13,3,0,0,0,0,0,3,0,0
1,1427,933,162,3,7,0,5,68,58,3,44
10,1554,1934,256,1,23,0,10,124,96,1,46
11,1028,1107,149,2,7,0,2,80,56,0,15
12,858,920,112,2,4,0,4,63,37,0,18
13,773,906,126,1,5,0,2,64,54,1,25
14,1680,1478,229,5,10,0,3,98,94,2,43
15,2590,2820,381,2,15,0,13,185,154,2,63
16,2467,2075,349,3,11,0,5,161,155,0,58
17,1472,1775,183,1,4,0,5,102,56,0,37
18,392,507,59,0,2,0,1,35,14,1,11
19,2104,2907,291,1,8,0,10,148,112,3,49
2,1855,1654,268,1,16,0,9,137,87,0,51
20,729,711,99,2,3,0,3,46,34,0,26
21,1765,1233,253,4,7,0,10,101,125,3,39
22,3915,2274,478,4,14,0,12,152,239,3,121
23,2488,1742,326,15,17,0,6,109,164,2,67
24,5271,2875,668,7,28,0,27,202,364,6,154
25,4460,3852,627,2,53,0,18,279,239,0,166
26,1126,614,151,0,10,0,6,70,56,0,29
27,1258,686,147,0,8,0,10,61,75,1,22
28,5677,2882,751,10,16,0,36,185,559,22,128
29,2014,1124,263,3,10,0,15,103,140,0,46
3,1969,1052,217,3,8,0,6,81,108,1,64
30,1721,1334,230,4,9,0,5,95,115,1,38
31,1841,974,210,0,9,0,8,66,129,1,47
32,6862,3262,944,19,9,0,48,166,984,18,104
33,1016,515,128,3,4,0,5,40,56,1,46
34,508,268,68,0,7,0,1,19,35,1,17
35,832,696,148,2,22,0,2,36,50,19,32
36,222,142,20,0,1,0,0,5,7,3,7
37,178,107,19,0,0,0,0,11,8,0,2
38,1499,747,167,4,4,0,9,41,85,4,38
39,805,686,137,9,8,0,5,27,65,7,48
4,1942,1269,240,1,5,0,9,91,117,0,61
40,648,258,58,0,2,0,2,25,31,0,8
41,1428,878,197,4,0,0,17,78,102,2,36
42,1744,994,182,3,9,1,2,60,102,12,25
43,2564,1888,323,9,10,0,12,125,180,1,54
44,1839,1622,210,3,6,0,13,99,92,2,33
45,816,974,101,0,1,0,1,57,35,0,19
46,1522,1312,198,1,7,0,15,119,59,0,27
47,158,173,17,0,0,0,0,6,7,0,5
48,807,914,85,1,3,0,4,44,31,0,13
49,2201,2237,232,2,8,0,12,133,75,0,43
5,2207,1350,254,3,9,0,15,77,138,1,50
50,447,361,60,2,0,0,4,23,28,0,20
51,527,561,79,0,2,0,0,45,25,0,21
52,537,815,85,3,0,0,4,51,24,0,15
53,1504,1850,171,2,6,0,6,93,62,0,25
54,136,73,7,0,1,0,0,4,2,0,1
55,392,554,43,0,1,0,1,27,17,2,3
56,1447,1850,158,1,5,0,6,89,70,0,16
57,448,615,70,2,3,0,3,34,30,0,17
58,1105,1068,136,0,5,0,6,78,43,1,20
59,717,563,89,0,1,0,2,44,43,2,13
6,4465,2330,525,9,16,0,26,178,254,5,118
60,1573,912,138,0,12,0,5,51,67,1,32
61,1773,1138,219,1,6,0,7,92,107,1,35
62,546,945,65,3,1,0,1,39,27,0,6
63,883,1298,114,0,4,0,4,57,49,0,10
64,719,1126,92,0,2,0,0,64,21,0,15
65,991,1818,136,1,1,0,4,70,55,1,18
66,1784,2236,233,1,2,0,5,143,86,0,24
67,1852,1224,226,1,7,0,10,135,77,0,31
68,1689,873,192,0,4,0,9,115,78,0,32
69,2163,1323,236,4,6,0,12,108,122,0,33
7,4147,2091,475,6,18,0,19,127,251,5,141
70,1744,3195,199,6,6,0,3,134,47,1,24
71,2745,2628,323,5,7,0,20,162,128,1,42
72,1133,1152,150,0,7,0,6,60,65,2,34
73,1694,1923,185,3,3,0,7,103,77,0,24
74,648,660,93,0,2,0,4,36,31,1,31
75,1133,1406,135,1,5,0,7,68,49,1,27
76,1057,660,178,2,4,0,1,92,92,2,17
77,2214,1248,255,3,11,0,8,102,109,5,55
8,7938,3564,920,17,13,0,75,247,656,19,206
9,506,432,61,0,2,0,2,27,26,0,10
