WARD,permits,median_days,p25,p75,rank
13,346,1.0,0.0,11.0,1
38,385,2.0,0.0,11.0,2
18,540,2.0,0.0,7.0,3
21,564,2.0,0.0,11.0,4
10,301,3.0,0.0,14.0,5
41,460,3.0,0.0,16.0,6
8,524,3.0,0.0,16.0,7
31,251,4.0,0.0,20.5,8
49,217,4.0,0.0,18.0,9
45,375,4.0,0.0,18.0,10
40,311,4.0,1.0,21.0,11
39,397,4.0,0.0,17.0,12
29,380,4.0,0.0,19.0,13
23,267,4.0,0.0,21.0,14
9,509,4.0,0.0,14.0,15
14,196,4.0,0.0,20.0,16
17,458,4.0,0.0,15.0,17
19,389,4.0,0.0,19.0,18
48,296,4.5,0.0,17.25,19
46,280,5.0,1.0,23.25,20
22,197,5.0,0.0,17.0,21
50,206,5.0,0.0,24.75,22
7,433,5.0,0.0,16.0,23
15,224,5.5,1.0,28.0,24
6,460,6.0,1.0,24.25,25
2,557,6.0,1.0,20.0,26
33,288,6.0,1.0,25.0,27
34,507,6.0,0.0,18.5,28
35,356,6.0,1.0,36.25,29
42,1142,6.0,1.0,15.0,30
12,218,6.0,1.0,24.75,31
5,377,6.0,1.0,22.0,32
30,328,6.0,1.0,19.0,33
11,364,7.0,1.0,42.5,34
44,367,7.0,0.0,30.0,35
16,410,7.0,1.0,32.75,36
37,346,7.0,1.0,32.0,37
36,322,7.0,1.0,34.0,38
3,352,7.0,1.0,27.25,39
28,406,7.0,1.0,27.5,40
26,313,7.0,1.0,33.0,41
25,320,8.0,1.0,46.5,42
4,418,8.5,2.0,25.0,43
43,545,9.0,2.0,34.0,44
47,560,9.0,1.0,37.0,45
27,691,10.0,1.0,41.5,46
1,489,11.0,1.0,48.25,47
0,1,12.0,12.0,12.0,48
32,521,13.0,1.0,52.0,49
20,394,14.0,2.0,51.75,50
24,434,15.0,3.0,59.75,51
