month,city_median_days,HEAT_PUMP_median_days,INSULATION_median_days,ELECTRICAL_UPGRADE_median_days,ENVELOPE_median_days,HVAC_GENERAL_median_days,LIGHTING_RETROFIT_median_days,fast_wards_days,slow_wards_days
2024-02-01,4.0,3.0,11.0,0.0,8.0,8.0,0.0,0.9000000000000004,8.100000000000001
2024-03-01,4.0,2.0,7.0,0.0,5.0,15.0,2.0,2.0,6.0
2024-04-01,3.0,26.0,20.0,0.0,2.0,9.0,0.0,1.0,6.0
2024-05-01,4.0,7.5,150.5,0.0,4.0,8.0,,2.0,6.0
2024-06-01,4.0,3.0,70.5,0.0,3.0,9.0,0.0,2.0,6.200000000000003
2024-07-01,4.0,5.0,168.0,0.0,3.0,10.5,17.0,1.4000000000000004,7.0
2024-08-01,4.0,6.0,17.5,0.0,5.0,11.5,,1.4000000000000004,7.100000000000001
2024-09-01,6.0,3.0,,1.0,1.0,21.0,98.5,2.9000000000000004,12.100000000000001
2024-10-01,8.0,1.0,4.5,13.0,2.0,23.0,65.0,6.0,11.400000000000006
2024-11-01,8.0,7.0,74.0,4.0,6.5,29.0,,6.0,13.0
2024-12-01,8.0,22.5,22.0,5.0,8.0,36.5,,4.0,16.0
2025-01-01,9.0,25.0,33.0,0.0,5.0,36.0,,4.0,20.200000000000003
2025-02-01,6.0,11.0,15.5,8.0,2.5,24.0,,3.9000000000000004,10.600000000000001
2025-03-01,5.0,7.5,17.0,7.0,1.0,20.0,,2.0,7.200000000000003
2025-04-01,5.0,29.5,13.0,8.0,3.0,36.5,,2.0,7.0
2025-05-01,3.0,5.0,377.0,6.0,1.0,38.0,,2.0,6.0
2025-06-01,5.0,13.0,,7.5,2.0,27.0,,2.5,7.600000000000001
2025-07-01,4.0,3.0,18.0,15.5,1.0,20.5,,1.9000000000000004,7.0
2025-08-01,5.0,13.0,19.5,11.5,0.0,47.0,,1.0,10.700000000000003
