iso_year_week,week_start,HEAT_PUMP,INSULATION,ELECTRICAL_UPGRADE,ENVELOPE,HVAC_GENERAL,LIGHTING_RETROFIT,unique_total,stacked_total,rolling_avg_4w
2024-W07,2024-02-12,0,1,15,8,10,0,33,34,33.0
2024-W08,2024-02-19,0,0,23,15,60,3,100,101,66.5
2024-W09,2024-02-26,1,1,18,21,10,0,50,51,61.0
2024-W10,2024-03-04,1,3,18,11,20,1,53,54,59.0
2024-W11,2024-03-11,0,2,18,14,21,1,55,56,64.5
2024-W12,2024-03-18,2,0,16,13,19,1,50,51,52.0
2024-W13,2024-03-25,0,2,11,29,15,1,55,58,53.25
2024-W14,2024-04-01,0,2,17,23,28,0,69,70,57.25
2024-W15,2024-04-08,1,1,15,12,15,1,44,45,54.5
2024-W16,2024-04-15,0,3,17,21,31,0,71,72,59.75
2024-W17,2024-04-22,2,1,22,26,28,0,75,79,64.75
2024-W18,2024-04-29,1,0,21,31,27,0,78,80,67.0
2024-W19,2024-05-06,0,0,27,22,12,0,61,61,71.25
2024-W20,2024-05-13,0,0,22,16,31,0,67,69,70.25
2024-W21,2024-05-20,2,1,19,23,15,0,59,60,66.25
2024-W22,2024-05-27,3,3,18,17,15,0,55,56,60.5
2024-W23,2024-06-03,6,1,15,19,31,0,70,72,62.75
2024-W24,2024-06-10,0,1,21,24,26,1,69,73,63.25
2024-W25,2024-06-17,1,0,20,20,29,3,70,73,66.0
2024-W26,2024-06-24,0,0,24,18,33,0,75,75,71.0
2024-W27,2024-07-01,0,0,13,12,24,1,50,50,66.0
2024-W28,2024-07-08,0,0,20,15,49,0,82,84,69.25
2024-W29,2024-07-15,2,1,20,20,25,0,66,68,68.25
2024-W30,2024-07-22,3,0,18,24,34,0,78,79,69.0
2024-W31,2024-07-29,1,0,13,21,21,1,57,57,70.75
2024-W32,2024-08-05,0,0,15,17,25,0,56,57,64.25
2024-W33,2024-08-12,0,0,16,24,30,0,68,70,64.75
2024-W34,2024-08-19,2,2,16,24,26,0,69,70,62.5
2024-W35,2024-08-26,2,0,14,16,26,0,56,58,62.25
2024-W36,2024-09-02,1,0,23,19,16,1,57,60,62.5
2024-W37,2024-09-09,1,0,7,25,16,0,49,49,57.75
2024-W38,2024-09-16,0,0,8,16,24,0,46,48,52.0
2024-W39,2024-09-23,0,0,8,15,16,1,40,40,48.0
2024-W40,2024-09-30,0,0,26,27,18,0,71,71,51.5
2024-W41,2024-10-07,1,1,25,24,18,0,69,69,56.5
2024-W42,2024-10-14,0,0,22,24,10,0,55,56,58.75
2024-W43,2024-10-21,1,1,15,15,16,0,48,48,60.75
2024-W44,2024-10-28,13,3,10,28,14,1,67,69,59.75
2024-W45,2024-11-04,2,3,9,12,16,0,39,42,52.25
2024-W46,2024-11-11,2,1,17,24,16,0,60,60,53.5
2024-W47,2024-11-18,2,0,7,18,14,0,40,41,51.5
2024-W48,2024-11-25,1,0,6,5,4,0,16,16,38.75
2024-W49,2024-12-02,1,0,7,12,20,0,37,40,38.25
2024-W50,2024-12-09,1,2,7,15,14,0,32,39,31.25
2024-W51,2024-12-16,0,1,1,8,17,0,27,27,28.0
2024-W52,2024-12-23,0,2,3,3,5,0,12,13,27.0
2025-W01,2024-12-30,0,0,6,9,8,0,22,23,23.25
2025-W02,2025-01-06,0,3,16,10,12,0,40,41,25.25
2025-W03,2025-01-13,1,0,10,9,14,0,32,34,26.5
2025-W04,2025-01-20,0,0,5,6,6,0,17,17,27.75
2025-W05,2025-01-27,1,0,13,15,18,0,47,47,34.0
2025-W06,2025-02-03,1,0,5,11,13,0,29,30,31.25
2025-W07,2025-02-10,2,0,3,12,12,0,28,29,30.25
2025-W08,2025-02-17,1,2,1,4,11,0,17,19,30.25
2025-W09,2025-02-24,6,2,7,11,15,0,41,41,28.75
2025-W10,2025-03-03,5,0,5,17,8,0,34,35,30.0
2025-W11,2025-03-10,1,0,7,16,20,0,44,44,34.0
2025-W12,2025-03-17,0,2,6,14,13,0,35,35,38.5
2025-W13,2025-03-24,2,3,5,15,10,0,35,35,37.0
2025-W14,2025-03-31,2,3,4,34,11,0,52,54,41.5
2025-W15,2025-04-07,2,2,3,20,16,0,39,43,40.25
2025-W16,2025-04-14,2,1,4,20,17,0,40,44,41.5
2025-W17,2025-04-21,1,1,5,28,18,0,50,53,45.25
2025-W18,2025-04-28,3,0,6,19,18,0,45,46,43.5
2025-W19,2025-05-05,3,0,8,20,20,0,50,51,46.25
2025-W20,2025-05-12,2,0,6,34,6,0,48,48,48.25
2025-W21,2025-05-19,2,0,7,19,5,0,33,33,44.0
2025-W22,2025-05-26,2,1,6,24,10,0,42,43,43.25
2025-W23,2025-06-02,2,0,12,19,22,0,52,55,43.75
2025-W24,2025-06-09,1,0,4,35,16,0,55,56,45.5
2025-W25,2025-06-16,1,0,3,19,11,0,33,34,45.5
2025-W26,2025-06-23,1,0,3,24,8,0,36,36,44.0
2025-W27,2025-06-30,0,1,3,21,10,0,34,35,39.5
2025-W28,2025-07-07,1,0,7,14,10,0,32,32,33.75
2025-W29,2025-07-14,2,0,7,23,17,0,48,49,37.5
2025-W30,2025-07-21,1,0,4,30,17,0,51,52,41.25
2025-W31,2025-07-28,1,0,4,24,26,0,54,55,46.25
2025-W32,2025-08-04,1,1,6,19,8,0,34,35,46.75
2025-W33,2025-08-11,0,1,3,20,13,0,36,37,43.75
