WARD,permits,score_sum,retrofit_likely,heat_pump,insulation,blower,ductwork,elec_upg,hvac,lighting,envelope
,779,317,81,0,0,0,1,63,22,9,4
0,4,0,0,0,0,0,0,0,0,0,0
1,3313,1999,456,5,19,0,14,133,240,3,121
10,1587,1936,226,3,4,0,8,137,64,2,37
11,2570,1508,275,0,23,0,8,98,134,2,54
12,1740,1456,224,1,8,0,10,106,96,2,36
13,1738,2910,204,3,4,0,5,134,61,1,24
14,1410,1958,190,3,4,0,7,89,87,1,30
15,1464,1223,189,0,6,0,3,105,76,0,22
16,2679,1886,315,1,9,0,13,203,105,0,39
17,2728,2501,353,7,6,0,15,205,118,1,52
18,2398,4101,290,6,6,0,7,176,86,1,41
19,2424,2556,323,1,13,0,13,142,122,4,76
2,3772,1754,423,11,9,0,27,109,265,9,92
20,2825,1477,288,2,10,1,8,111,151,13,40
21,3350,3591,386,2,8,0,22,221,143,1,51
22,1238,1308,155,3,9,0,4,78,66,0,26
23,1657,2365,213,1,3,0,4,113,98,0,25
24,2503,1357,310,3,12,0,14,128,161,1,49
25,2723,1447,315,0,16,0,10,94,205,2,64
26,2321,1651,311,15,20,0,13,99,150,2,66
27,5120,2690,663,7,13,0,36,194,443,4,127
28,3409,1894,434,2,24,0,23,170,202,16,86
29,2380,2269,340,2,32,0,12,159,108,0,94
3,2617,1558,348,7,26,0,15,86,156,19,85
30,2020,2267,273,1,9,0,7,137,118,0,35
31,1741,1867,230,0,6,0,6,124,84,1,50
32,3400,1646,338,4,15,0,8,95,179,8,80
33,2161,1580,288,7,10,0,7,118,135,2,46
34,3050,2455,324,6,9,0,18,103,207,12,72
35,2328,1709,331,4,6,0,9,139,133,2,66
36,1763,1823,241,1,8,0,4,114,86,3,49
37,2370,1939,324,0,17,0,6,137,143,0,83
38,2075,2513,293,3,9,0,6,151,111,0,47
39,2412,2607,365,5,13,0,8,184,138,2,66
4,2778,1590,361,5,17,0,12,107,163,10,110
40,2329,1711,324,0,9,0,10,146,134,2,63
41,2872,2751,454,2,29,0,11,217,209,2,63
42,10158,4734,1336,23,13,0,80,213,1397,16,172
43,3678,1804,421,7,13,0,16,129,221,4,118
44,2607,1257,290,3,8,0,18,88,146,2,78
45,2583,2651,383,3,16,0,16,186,142,3,69
46,1676,949,211,7,8,0,9,75,94,2,63
47,3478,2257,421,5,13,0,20,144,218,1,93
48,2007,1019,224,3,9,0,7,92,96,3,51
49,1399,912,155,3,7,0,5,64,54,3,43
5,2644,1718,338,14,7,0,17,114,197,10,60
50,1445,1280,195,1,14,0,7,96,77,0,34
6,3264,2267,358,3,9,0,17,172,173,0,53
7,2506,2273,337,9,11,0,16,170,131,1,57
8,3313,3270,393,6,6,0,22,201,163,1,68
9,2868,2913,322,3,7,0,17,166,111,0,65
